Row,Column,Code,Planting_Code,germ_group,subpop,group,Planting_Date,Germ_Date,Died_By,Died_before_bolting,Died_before_flowering,Bolt_before_7_26,Bolt_before_Winter,Dead_7_1_12,Bolted_Date,second_bolt,Flowering_Date,Height_1st_Flower_cm,Date_Blossom_Collected,Days_Germ_to_Bolt,Died_from_winter,Days_Germ_to_Flow,Days_Bolt_Flower,Survive_winter,6_28_Leaf_Number_Josh,No_data_6_28,7_26_Leaf_Number_Josh,No_data_7_26,6_28_Rosette_Leaf_Scale,6_28_L1L,6_28_L1W,6_28_L2L,6_28_L2W,6_28_L3L,6_28_L3W,7_26_Rosette_Leaf_Scale,7_26_L1L,7_26_L1W,7_26_L2L,7_26_L2W,7_26_L3L,7_26_L3W,Alive_1_5_13,Alive_4_17_13,Alive_5_3_13,Alive_5_13_13,Alive_5_28_13,Tissue_Sample,SpringAliveDate
69,B,RA787,RA787,1,unknown,unknown,5/25/12,5/29/12,7/26/12,0,1,1,0,0,6/28/12,,,,,30,,,,0,6,,,D,57.472,242.967,,224.539,,134.149,,33.298,,,,,,,0,0,0,0,0,0,
78,A,AFFRxMAES,AFFRxMAES_4,4,cross,cross,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,7,,,D,66.132,390.667,,267.749,,218.562,119.976,26.674,,,,,,,0,0,0,0,0,0,
81,A,BINYxMAES,BINYxMAES_1,1,cross,cross,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,7,,,D,70.395,491.108,210.489,472.913,163.715,312.958,139.242,43.84,,,,,,,0,0,0,0,0,0,
86,B,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,7/26/12,0,0,1,1,0,6/27/12,,7/2/12,1.1,8/1/12,29,,34,5,0,4,,,D,66.145,127.672,39.135,,,,,35,,,,,,,0,0,0,0,0,0,
88,D,M3AU,M3,1,weed,weed,5/25/12,6/1/12,7/26/12,1,1,,0,0,,,,,,,,,,0,9,,,D,54.491,403.166,217.641,,98.847,,79.029,45.106,,,,,,,0,0,0,0,0,0,
89,D,AFFRxMAES,AFFRxMAES_4,4,cross,cross,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,12,,,D,54.944,302.406,145.277,302.232,113.859,277.02,128.177,43.327,,,,,,,0,0,0,0,0,0,
92,A,RA265,RA265,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,3,,,D,74.145,90.966,56.128,84.484,59.12,91.272,76.325,51.099,,,,,,,0,0,0,0,0,0,
96,D,NZIL,NZIL_redos,1,confusus,native,5/25/12,5/30/12,7/26/12,1,1,,0,0,,,,,,,,,,0,5,,,D,57.963,158.467,82.413,93.918,57.516,75.195,57.886,27,,,,,,,0,0,0,0,0,0,
97,D,BINYxMAES,BINYxMAES_1,1,cross,cross,5/25/12,5/30/12,7/26/12,1,1,,0,0,,,,,,,,,,0,5,,,D,55.986,86.233,32.25,,,,,30.784,,,,,,,0,0,0,0,0,0,
99,A,RA264,RA264,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,5,,,D,63.932,220.795,113.619,259.16,154.207,,,21,,,,,,,0,0,0,0,0,0,
99,C,AL,AL,1,weed,weed,5/25/12,5/30/12,7/26/12,0,1,1,0,0,7/11/12,,,,,42,,,,0,7,,,D,56,426.222,177.339,355.188,140.053,343.349,144.893,31.91,,,,,,,0,0,0,0,0,0,
99,E,RA447,RA447,1,unknown,unknown,5/25/12,5/30/12,7/26/12,1,1,,0,0,,,,,,,,,,0,6,,,D,52,385.814,213.79,452.612,243.936,271.947,177.959,38,6.64,5.217,,,,,0,0,0,0,0,0,
100,A,GMIL,GMIL,1,rostratus,native,5/25/12,6/1/12,7/26/12,1,1,,0,0,,,,,,,,,,0,7,,,D,69.689,416.087,196.069,409.807,209.174,406.886,156.969,23.236,,,,,,,0,0,0,0,0,0,
100,C,BINYxMAES,BINYxMAES_2,2,cross,cross,5/25/12,6/1/12,7/26/12,1,1,,0,0,,,,,,,,,,0,7,,,D,53.236,390.845,193.706,342.782,180.626,253.11,131.227,,,,,,,,0,0,0,0,0,0,
101,D,PG6,PG6,1,weed,weed,5/25/12,6/4/12,7/26/12,0,1,1,0,0,7/11/12,,,,,37,,,,0,6,,,D,53.491,375.426,198.152,377.811,170.859,,198.478,22.099,,,,,,,0,0,0,0,0,0,
102,A,SAESxMAES,SAESxMAES_2,2,cross,cross,5/25/12,6/1/12,7/26/12,1,1,,0,0,,,,,,,,,,0,6,,,D,59,272.881,108.622,336.952,88.829,,,28.853,1,,,,,,0,0,0,0,0,0,
102,B,M3AU,M3,1,weed,weed,5/25/12,6/1/12,7/26/12,1,1,,0,0,,,,,,,,,,0,5,,,D,65.236,472.489,163.184,490.594,166.132,331.849,136.929,32.162,,,,,,,0,0,0,0,0,0,
102,D,N3,N3,1,weed,weed,5/25/12,6/12/12,7/26/12,1,1,,0,0,,,,,,,,,,0,4,,,D,56.236,87.529,47.799,82.417,37.974,27.556,23.018,43.342,,,,,,,0,0,0,0,0,0,
27,C,AL,AL,1,weed,weed,5/25/12,5/30/12,8/13/12,0,0,1,1,0,7/11/12,,7/20/12,7,7/20/12,42,,51,9,0,7,,,F,64.139,377.919,175.355,294.389,161.978,322.966,182.715,37,,,,,,,0,0,0,0,0,0,
72,D,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,8/23/12,0,0,1,1,0,6/28/12,,7/25/12,6,,30,,57,27,0,5,,,F,51.492,117.043,65.151,58.648,75.903,,,48.187,1,,,,,,0,0,0,0,0,0,
1,C,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,8/29/12,0,0,1,1,0,6/28/12,,7/16/12,5,7/25/12,30,,48,18,0,6,,,F,58.718,140.843,36.716,111.925,58.31,111.727,57.437,57.187,,,,,,,0,0,0,0,0,0,
5,B,RA787,RA787,1,unknown,unknown,5/25/12,5/29/12,8/29/12,0,1,1,1,0,7/11/12,,,,,43,,,,0,4,,6,,65.236,126.24,,151.883,,,,51,77.538,25.756,85.637,22.991,74.258,30.411,0,0,0,0,0,0,
10,E,RA226,RA226,1,unknown,unknown,5/25/12,5/30/12,8/29/12,1,1,,0,0,,,,,,,,,,0,6,,9,,58.236,229.088,113.584,211.278,106.724,241.491,,44.952,248.342,101.105,251.23,91.323,196.349,118.314,0,0,0,0,0,0,
34,B,DAJO,DAJO,1,europe,crop,5/25/12,5/29/12,8/29/12,1,1,,0,0,,,,,,,,,,0,6,,3,,76.236,165.926,109.507,154.351,122.585,184.649,76.935,0,,,,,,,0,0,0,0,0,0,
40,E,RA503,RA503,1,unknown,unknown,5/25/12,5/29/12,8/29/12,1,1,,0,0,,,,,,,,,,0,6,,8,,60.139,105.037,63.904,109.489,48.457,89.944,44.065,63.255,123.905,43.124,160.896,59.683,147.371,56.095,0,0,0,0,0,0,
84,B,RA226,RA226,1,unknown,unknown,5/25/12,5/30/12,8/29/12,1,1,,0,0,,,,,,,,,,0,4,,5,,63.256,53.634,39.051,,,,,20.991,90.524,34.441,47.178,20.829,47.077,16.236,0,0,0,0,0,0,
85,C,RA503,RA503,1,unknown,unknown,5/25/12,5/29/12,8/29/12,1,1,,0,0,,,,,,,,,,0,6,,10,,58.492,130.833,45.653,114.945,39.686,66.386,37.613,48.513,113.139,27.133,119.323,18.353,103.715,44.245,0,0,0,0,0,0,
90,C,RA787,RA787,1,unknown,unknown,5/25/12,5/29/12,9/12/12,0,0,1,1,0,7/16/12,,7/23/12,1,,48,,55,7,0,4,,,F,62.398,156.014,64.554,145.138,67.263,,,69.616,,,,,,,0,0,0,0,0,0,
1,A,RA219,RA219,1,unknown,unknown,5/25/12,6/1/12,,0,0,1,1,,7/11/12,,7/18/12,25,7/20/12,40,,47,7,0,9,,,,61.395,375.779,118.388,350.359,135.477,376.673,192.586,32.398,,,,,,,0,0,0,0,0,1,
1,B,REIL,REIL,1,weed,weed,5/25/12,5/30/12,,0,0,1,1,,7/16/12,,7/16/12,2.4,7/18/12,47,,47,0,0,6,,,,61.162,356.347,143.716,280.037,90.461,,181.368,34.236,,,,,,,0,0,0,0,0,1,
1,D,GMIL,GMIL,1,rostratus,native,5/25/12,6/1/12,,0,0,1,1,,7/11/12,,7/13/12,11.3,7/18/12,40,,42,2,0,10,,,F,47.162,392.641,171.016,375.031,154.023,375.29,155.496,15.492,3,,,,,,0,0,0,0,0,1,
2,A,ESNK,ESNK,1,europe,crop,5/25/12,5/29/12,,1,1,,0,,,,,,,,1,,,0,2,,5,,64.986,81.472,81.299,,,,,56.325,308.711,170.553,205.468,161.463,137.997,95.278,0,0,0,0,0,1,
2,B,RA838-1,RA838-1,1,unknown,unknown,5/25/12,5/29/12,,0,0,0,1,,8/1/12,,8/3/12,48.5,8/3/12,64,,66,2,0,7,,35,,41.236,442.949,241.883,393.02,229.061,359.799,187.736,11.162,535.429,167.424,420.623,102.145,452.925,141.455,0,0,0,0,0,1,
2,C,RA432,RA432,1,unknown,unknown,5/25/12,5/30/12,,0,0,0,1,,8/13/12,,8/23/12,75,8/23/12,75,,85,10,0,8,,14,,41.256,481.774,198.833,464.723,202.796,388.896,151.148,17.472,397.789,134.016,429.657,133.497,485.931,149.028,0,0,0,0,0,1,
2,D,RA215,RA215,1,unknown,unknown,5/25/12,5/29/12,,0,0,1,1,,7/11/12,,7/12/12,20.1,7/18/12,43,,44,1,0,12,,,F,43.654,421.151,159.183,432.563,142.674,356.743,166.317,29.162,,,,,,,0,0,0,0,0,1,
2,E,AFFRxMAES,AFFRxMAES_3,3,cross,cross,5/25/12,6/1/12,,0,0,0,1,,8/23/12,,8/29/12,29,8/29/12,83,,89,6,0,8,,26,,54.256,259.993,152.571,271.665,139.371,217.837,125.718,19,403.977,145.024,363.197,156.781,410.796,121.573,0,0,0,0,0,1,
3,A,CBES,CBES,1,lanmar,native,5/25/12,5/29/12,,1,1,,0,,,,,,,,1,,,0,6,,18,,65.727,279.819,137.582,275.079,121.563,307.331,114.429,25.162,415.931,229.862,452.195,201.247,486.971,246.935,1,0,0,0,0,1,
3,B,SAES,SAES,1,lanmar,native,5/25/12,5/29/12,,0,1,0,0,,5/28/13,,,,,364,,,,1,9,,18,,52.829,435.296,194.373,446.938,170.797,444.77,190.891,22.472,560.77,224.951,354.627,102.261,364.238,83.243,1,1,1,1,1,1,5/28/12
3,C,SAESxMAES,SAESxMAES_2,2,cross,cross,5/25/12,6/1/12,,0,0,0,1,,9/12/12,,9/12/12,24.5,,103,,103,0,0,8,,14,,62.654,252.237,127.287,241.863,133.667,245.862,114.695,21.325,281.288,121.325,225.663,109.407,310.477,124.022,0,0,0,0,0,1,
3,D,BINYxMAES,BINYxMAES_2,2,cross,cross,5/25/12,5/30/12,,0,0,1,1,,7/11/12,,7/18/12,15.8,7/18/12,42,,49,7,0,7,,,F,49.903,358.652,190.739,309.062,139.488,,228.913,26.418,,,,,,,0,0,0,0,0,1,
4,A,RA835,RA835,1,unknown,unknown,5/25/12,5/29/12,,0,0,1,1,,7/11/12,,7/25/12,9.6,7/25/12,43,,57,14,0,8,,,F,66.375,439.499,175.566,417.089,151.341,331.632,185.371,38.491,,,,,,,0,0,0,0,0,1,
4,B,RA447,RA447,1,unknown,unknown,5/25/12,5/30/12,,0,0,1,1,,6/28/12,,7/6/12,21.5,7/18/12,29,,37,8,0,9,,,F,41.236,502.551,279.779,475.904,268.093,489.564,251.478,12,,,,,,,0,0,0,0,0,1,
4,C,BINYxMAES,BINYxMAES_1,1,cross,cross,5/25/12,5/29/12,,0,0,1,1,,7/11/12,,7/18/12,20.9,7/20/12,43,,50,7,0,6,,,F,69.556,302.654,107.229,297.371,136.984,194.516,93.326,36.162,,,,,,,0,0,0,0,0,1,
4,D,BINYxMAES,BINYxMAES_3,3,cross,cross,5/25/12,6/1/12,,0,0,0,1,,8/23/12,,8/23/12,14.5,9/12/12,83,,83,0,0,4,,15,,53.162,98.157,47.809,103.253,40.605,,38.479,26,360.674,172.843,463.659,202.571,398.977,140.656,0,0,0,0,0,1,
5,A,RA444,RA444,1,unknown,unknown,5/25/12,6/1/12,,1,1,,0,,,,,,,,1,,,0,8,,19,,67.072,441.014,224.671,407.588,193.606,399.451,186.025,19.566,454.945,138.714,479.023,158.981,445.635,161.187,1,0,0,0,0,1,
5,C,RA264,RA264,1,unknown,unknown,5/25/12,5/29/12,,1,1,,0,,,,,,,,1,,,0,4,,13,,96.492,452.434,173.599,316.633,143.279,,164.384,39.187,350.141,128.845,337.972,140.306,295.972,128.996,0,0,0,0,0,1,
5,E,M3AU,M3,1,weed,weed,5/25/12,6/3/12,,0,0,1,1,,7/11/12,,7/18/12,16.2,7/18/12,38,,45,7,0,,,,F,,,,,,,,23.895,1.414,7.453,,,,,0,0,0,0,0,1,
6,A,SAESxMAES,SAESxMAES_2,2,cross,cross,5/25/12,6/1/12,,0,0,0,1,,8/23/12,,9/12/12,48,9/12/12,83,,103,20,0,8,,18,,56.211,513.37,196.658,470.516,273.213,447.578,168.07,23,354.42,142.209,460.959,196.813,336.639,170.964,0,0,0,0,0,1,
6,B,REIL,REIL,1,weed,weed,5/25/12,5/29/12,,0,0,0,1,,7/30/12,,7/30/12,17.8,7/30/12,62,,62,0,0,8,,36,,71.458,523.626,212.115,480.66,202.418,360.08,186.151,31.325,375.708,142.801,389.294,148.06,431.899,156.567,0,0,0,0,0,1,
6,C,SAESxMAES,SAESxMAES_2,2,cross,cross,5/25/12,6/3/12,,0,0,1,1,,7/23/12,,8/1/12,39.5,8/3/12,50,,59,9,0,8,,16,,74.157,368.841,169.384,415.49,176.882,372.796,148.278,40.149,356.366,142.982,386.789,163.378,467.699,112.342,0,0,0,0,0,1,
6,D,RA840,RA840,1,unknown,unknown,5/25/12,5/30/12,,0,0,1,1,,7/11/12,,7/18/12,22.5,7/18/12,42,,49,7,0,8,,,F,52.08,438.177,234.098,432.255,193.357,342.953,194.91,19.491,,,,,,,0,0,0,0,0,1,
6,E,CBES,CBES,1,lanmar,native,5/25/12,6/1/12,,0,0,0,1,,7/30/12,5/28/13,8/13/12,51.5,8/13/12,59,,73,14,1,6,,10,,60,327.409,127.891,262.403,164.915,244.263,151.043,26.355,324.607,143.971,425.515,154.479,475.699,209.723,1,1,1,1,1,1,5/28/13
7,A,TOBG,TOBG,1,daikon,crop,5/25/12,5/29/12,,1,1,,0,,,,,,,,1,,,0,10,,16,,63.048,411.709,,364.031,,393.679,235.765,24.472,500.389,162.566,491.837,168.128,479.584,170.84,1,0,0,0,0,1,
