Pop,ID,sire,dam,OrigSireID,OrigDamID,sib,block_9,blockNum,FlwrPos,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ovules,plantingDate,germTime,germ2flwr,plant2Flwr,NumVernal,DaysVernal,1stFlwrHgt_cm,LeafNum,Measurer
AUFI,373,999,1000,6,7,c,7,118,9,8.84,5.28,10.402,8.9431,11.7832,12.4369,9,8-Jul-04,4,24,28,0,0,19,4,Steve
AUFI,467,1025,1026,38,39,c,3,77,3,8.09,6.9,11.6742,10.0974,12.3257,13.9258,7,8-Jul-04,4,24,28,0,0,24,4,Steve
AUFI,438,1018,1021,31,34,a,9,156,3,10.26,7.41,13.1908,10.3804,12.8781,17.2639,9,8-Jul-04,4,24,28,0,0,26,4,Steve
AUFI,400,1007,1006,15,14,b,5,82,3,.,.,12.0304,10.976,12.8457,17.5583,9,8-Jul-04,4,24,28,0,0,26,4,Steve
AUFI,458,1023,1024,36,37,a,4,51,6,8.83,5.35,10.1004,9.4029,11.3117,15.8437,9,8-Jul-04,9,20,29,0,0,27,3,Steve
AUFI,474,1027,1031,40,46,b,1,2,7,9.21,5.61,10.3842,8.2076,10.7846,14.2841,4,8-Jul-04,4,25,29,0,0,33,3,Steve
AUFI,412,1010,1011,20,22,b,3,66,5,8.02,6.02,10.2782,9.4908,11.2463,15.0001,7,8-Jul-04,4,25,29,0,0,22.5,3,Steve
AUFI,361,996,1002,1,10,a,2,16,4,12.73,8.59,12.7071,9.5987,12.4658,15.5229,6,8-Jul-04,4,25,29,0,0,21,3,Steve
AUFI,390,1003,1004,11,12,d,2,24,7,10.73,7.38,12.6027,10.5577,13.4265,15.5984,7,8-Jul-04,4,25,29,0,0,20,4,Steve
AUFI,418,1012,1013,23,24,a,3,62,10,8.77,5.53,11.2816,9.2003,12.1125,13.0447,8,8-Jul-04,5,25,30,0,0,20.5,4,Steve
AUFI,429,1015,1019,27,32,d,1,10,8,6.84,6.39,11.6508,9.5197,11.9679,11.859,7,8-Jul-04,4,26,30,0,0,28,5,Steve
AUFI,363,996,1002,1,10,c,5,101,11,10.11,7.05,12.4756,9.7348,12.5867,13.4735,6,8-Jul-04,4,26,30,0,0,28,4,Steve
AUFI,496,1034,997,50,2,a,6,88,9,10.43,7.09,11.7965,9.6854,12.271,15.9026,8,8-Jul-04,4,26,30,0,0,31.5,5,Steve
AUFI,459,1023,1024,36,37,b,1,26,6,9,5.87,11.7325,9.5787,12.3135,16.4361,8,8-Jul-04,10,22,32,0,0,21,5,Steve
AUFI,396,1006,1008,14,17,b,8,139,5,7.39,6.56,11.5228,9.2781,11.7037,11.9959,10,8-Jul-04,7,25,32,0,0,31,2,Steve
AUFI,388,1003,1004,11,12,b,7,146,8,10.21,7.44,10.7278,10.0912,12.6521,13.3428,7,8-Jul-04,4,28,32,0,0,36,3,Steve
AUFI,365,997,998,2,5,a,5,110,3,9.74,6.82,11.3434,9.773,12.4201,14.6958,12,8-Jul-04,10,24,34,0,0,20,3,Steve
AUFI,499,1034,997,50,2,d,4,52,3,7.61,3.84,11.6999,9.1878,11.3241,12.1322,9,8-Jul-04,11,24,35,0,0,20,3,Steve
AUFI,371,999,1000,6,7,a,9,44,3,9.69,6.4,10.1743,8.1379,10.8117,14.2268,9,8-Jul-04,5,30,35,0,0,37,4,Steve
AUFI,414,1011,1012,22,23,a,6,107,3,6.17,4.88,8.8062,6.9352,8.8206,12.3476,10,8-Jul-04,6,30,36,0,0,34,4,Steve
AUFI,368,998,999,5,6,b,3,50,4,8.35,6.42,10.892,7.9542,12.4024,14.5431,12,8-Jul-04,6,33,39,0,0,29,3,Steve
AUFI,460,1023,1024,36,37,c,1,29,6,7.89,5.34,11.0897,8.8263,11.7238,15.9833,8,8-Jul-04,19,24,43,0,0,37,3,Steve
AUFI,437,1017,1018,30,31,d,2,8,5,7.58,5.76,9.7434,8.458,11.344,12.9233,8,8-Jul-04,7,.,.,.,.,32.2,4,Steve
AUFI,431,1016,1017,29,30,b,2,12,4,7.38,6.26,11.3552,10.2608,12.4768,13.532,8,8-Jul-04,4,.,.,.,.,32.3,4,Steve
AUFI,415,1011,1012,22,23,b,2,15,x4,8.24,7.21,10.7655,9.635,11.8086,14.661,5,8-Jul-04,5,.,.,.,.,33.1,5,Steve
BINY,770,1129,1130,2,3,c,2,32,4,8.8,7.22,11.1677,8.2109,10.32,12.2247,6,8-Jul-04,4,21,25,0,0,21.3,3,Steve
BINY,775,1130,1132,3,5,d,3,70,5,11.37,7.76,13.3606,11.299,13.6436,13.6751,9,8-Jul-04,4,22,26,0,0,21.5,4,Steve
BINY,874,1161,1131,48,4,d,4,67,3,11.71,8.61,12.2567,11.4219,13.1928,14.5427,4,8-Jul-04,4,22,26,0,0,22.5,5,Steve
BINY,841,1149,1155,31,39,d,4,47,4,11.06,8.77,12.4577,11.0304,12.7083,16.0461,8,8-Jul-04,4,22,26,0,0,23,4,Steve
BINY,773,1130,1132,3,5,b,6,96,3,10.73,8.28,13.3638,10.5295,13.5769,16.1576,9,8-Jul-04,4,22,26,0,0,25,.,Steve
BINY,810,1142,1144,23,25,a,8,124,3,.,.,10.8325,9.2641,11.5058,11.6486,6,8-Jul-04,5,22,27,0,0,23.5,4,Steve
BINY,793,1136,1139,15,20,c,8,128,5,.,.,11.5026,9.3044,11.6404,11.0946,7,8-Jul-04,4,23,27,0,0,28,3,Steve
BINY,824,1145,1148,26,30,c,8,127,4,.,.,10.9293,8.9,10.9573,13.6905,9,8-Jul-04,4,23,27,0,0,33.2,4,Steve
BINY,792,1136,1139,15,20,b,1,22,4,9.44,7.89,11.6986,9.492,11.4868,14.1987,4,8-Jul-04,4,23,27,0,0,20.3,4,Steve
BINY,816,1143,1147,24,29,c,9,153,4,8.61,8.46,11.7101,9.1998,11.9577,14.3962,8,8-Jul-04,4,23,27,0,0,30.6,3,Steve
BINY,842,1150,1151,32,33,a,1,33,4,9.24,6.75,11.0588,9.4703,11.5572,14.9064,7,8-Jul-04,4,23,27,0,0,23.5,4,Steve
BINY,828,1146,1159,28,45,c,8,131,4,.,.,9.5162,8.025,10.2854,15.057,4,8-Jul-04,4,23,27,0,0,27,4,Steve
BINY,776,1131,1133,4,9,a,1,5,5,7.94,6.98,11.9167,9.3526,12.2384,15.272,8,8-Jul-04,4,23,27,0,0,26.5,4,Steve
BINY,799,1139,1145,20,26,a,1,13,3,9.68,6.69,10.2069,8.5467,10.4804,15.6088,8,8-Jul-04,4,23,27,0,0,23,5,Steve
BINY,780,1132,1134,5,12,a,3,54,5,12.42,5.97,13.7315,10.976,14.0636,19.1711,7,8-Jul-04,5,23,28,0,0,22.5,4,Steve
BINY,772,1130,1132,3,5,a,5,110,3,9.9,7.71,13.2212,10.468,12.9998,11.8165,9,8-Jul-04,4,24,28,0,0,28,4,Steve
BINY,835,1148,1150,30,32,b,9,43,3,7.89,6.01,10.1621,7.8331,9.6626,12.3021,8,8-Jul-04,4,24,28,0,0,20,4,Steve
BINY,848,1153,1154,36,38,a,3,53,4,9.72,10.05,12.9443,9.2251,13.031,13.3601,8,8-Jul-04,4,24,28,0,0,22,5,Steve
BINY,795,1138,1137,19,18,a,8,119,3,8.74,8.03,12.4828,9.8112,12.665,13.7077,8,8-Jul-04,4,24,28,0,0,32.8,4,Steve
BINY,831,1147,1158,29,44,b,6,116,3,8.94,7.19,11.8185,8.7319,11.8152,13.7145,8,8-Jul-04,4,24,28,0,0,35,4,Steve
