NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
12,1,MYJO,crop,crop,"671,672",5/29/13,6/2/13,8/5/13,8/13/13,83,8/14/13,8/20/13,,,,,
12,2,MYJO,crop,crop,"1051, 1052",5/29/13,6/2/13,8/20/13,8/24/13,52,9/20/13,9/3/13,,,,,
12,4,SAES,lanmar,native,"527, 528",5/29/13,6/6/13,7/15/13,7/18/13,55,8/2/13,8/5/13,,,,,
12,5,RBBC,crop,crop,"529,530",5/29/13,6/5/13,7/15/13,7/18/13,22,8/14/13,8/5/13,,Out of ground 7/26,,,
12,6,SAES,lanmar,native,,5/29/13,6/9/13,,,,,,,,,,
12,8,RBBC,crop,crop,,5/29/13,6/2/13,10/14/13,,,,,,,,,
12,10,NTJO,crop,crop,,5/29/13,6/5/13,,,,,,,,,,
12,12,SPNK,crop,crop,"560, 561",5/29/13,6/3/13,7/18/13,7/24/13,38,8/2/13,8/1/13,,,,,
12,13,MABG,crop,crop,"110, 111",5/29/13,6/5/13,6/29/13,7/2/13,46,7/5/13,7/22/13,,,,,
12,14,PABS,crop,crop,,5/29/13,6/4/13,,,,,,8/17/13,"Dying 8/13, Replaced Fall",,,
12,15,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,,Very sick 7/7,,,
13,2,DAJO,crop,crop,,5/29/13,6/9/13,,,,,,,Sick 7/10,,,
13,8,RABS,crop,crop,,5/29/13,6/5/13,,,,,,,,,,
13,9,WMBG,crop,crop,"998,999",5/29/13,6/7/13,8/13/13,8/22/13,66,,9/3/13,,,,,
13,10,ESNK,crop,crop,"673,674",5/29/13,6/2/13,8/5/13,8/9/13,39,8/14/13,8/20/13,,,,,
13,12,BINY,weed,weed,"452, 453",5/29/13,6/14/13,7/7/13,7/10/13,11,7/16/13,7/18/13,9/27/13,,,,
13,13,RACA,crop,crop,"454, 455",5/29/13,6/3/13,7/7/13,7/10/13,18.5,7/11/13,8/13/13,9/20/13,Dying 7/28,,,
13,14,BINY,weed,weed,,5/29/13,,,,,,,8/26/13,Replaced for Fall,,,
14,1,SPNK,crop,crop,"531, 532",5/29/13,6/2/13,7/15/13,7/22/13,61,7/25/13,7/26/13,,,,,
14,12,M3AU,weed,weed,"675,676",5/29/13,7/10/13,8/5/13,8/6/13,11,8/14/13,8/13/13,,,,,
14,14,SPNK,crop,crop,"426, 427",5/29/13,6/2/13,7/5/13,7/8/13,31,7/11/13,7/22/13,,,,,
14,15,MBBC,crop,crop,,5/29/13,6/7/13,,,,,,,Removed from ground 8/13,,,
14,16,CBBG,crop,crop,"607,608",5/29/13,6/2/13,8/1/13,8/13/13,67,8/14/13,8/20/13,,,,,
14,17,WMBG,crop,crop,,5/29/13,6/5/13,,,,,,,Removed from ground 8/13,,,
15,2,TOBG,crop,crop,,5/29/13,6/2/13,,,,,,10/2/13,Dying 9/20,,,
15,3,NTJO,crop,crop,,5/29/13,6/3/13,,,,,,,,,,
15,4,RACA,crop,crop,"1065, 1066",5/29/13,6/5/13,8/22/13,8/24/13,96,9/20/13,9/3/13,,,,,
15,5,CGBC,crop,crop,"1067, 1068",5/29/13,6/3/13,8/22/13,9/9/13,82,9/20/13,9/20/13,,,,,
15,7,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
15,10,CBES,lanmar,native,,5/29/13,6/7/13,,,,,,,,,,
15,11,FGBC,crop,crop,,5/29/13,6/4/13,10/18/13,,,,,,,,,
15,15,FGBC,crop,crop,,5/29/13,6/9/13,10/9/13,11/8/13,92,,,,,,,
16,1,WMBG,crop,crop,"677,678",5/29/13,6/7/13,8/5/13,8/13/13,39,8/23/13,8/27/13,,,,,
16,2,LBBC,crop,crop,,5/29/13,6/2/13,,,,,,9/20/13,,,,
16,7,SAES,lanmar,native,"498, 499",5/29/13,6/6/13,7/11/13,7/16/13,47,7/25/13,7/24/13,,,,,
16,9,FRSI,crop,crop,"1120, 1121",5/29/13,6/2/13,9/20/13,9/23/13,59,10/23/13,10/7/13,,,,,
17,4,AFFR,weed,weed,,5/29/13,,,,,,,8/23/13,Replaced Fall,,,
17,5,TOBG,crop,crop,,5/29/13,6/6/13,,,,,,,,,,
17,7,PABS,crop,crop,,5/29/13,6/7/13,,,,,,9/27/13,Dying 9/9,,,
17,9,NELO,crop,crop,,5/29/13,6/6/13,,,,,,,,,,
17,10,MAES,maes,native,,5/29/13,7/1/13,,,,,,,,,,
17,11,RACA,crop,crop,"533, 534",5/29/13,6/3/13,7/15/13,7/19/13,46,8/14/13,8/9/13,,Out of ground 8/5,,,
17,14,PABS,crop,crop,,5/29/13,6/10/13,,,,,,,,,,
17,16,WMBG,crop,crop,,5/29/13,6/2/13,10/14/13,10/30/13,18,,,,,,,
17,17,AFFR,weed,weed,,5/29/13,,,,,,,8/23/13,Replaced Fall,,,
18,1,MAES,maes,native,,5/29/13,,,,,,,,,,,
18,2,M3AU,weed,weed,"432, 433",5/29/13,6/6/13,7/5/13,7/10/13,20.5,7/11/13,7/18/13,,,,,
18,3,CBBG,crop,crop,"573, 574",5/29/13,6/2/13,7/22/13,8/1/13,78.5,8/2/13,8/9/13,,,,,
18,4,FGBC,crop,crop,"1003, 1004",5/29/13,6/2/13,8/13/13,8/20/13,67,8/23/13,8/27/13,,,,,
18,6,BINY,weed,weed,,5/29/13,,,,,,,8/23/13,Replaced Fall,,,
18,7,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
18,11,AFFR,weed,weed,"1770, 1774",5/29/13,9/20/13,10/18/13,10/21/13,3,11/4/13,,,,,,
18,12,PABS,crop,crop,,5/29/13,6/2/13,,,,,,9/3/13,Dying 8/27,,,
18,13,CBES,lanmar,native,,5/29/13,,,,,,,,,,,
18,14,MAES,maes,native,"1001, 1002",5/29/13,6/9/13,8/13/13,8/20/13,50,9/20/13,8/27/13,,,,,
19,3,CGBC,crop,crop,"500, 501",5/29/13,6/2/13,7/11/13,7/18/13,73,7/25/13,7/22/13,,,,,
19,6,DAJO,crop,crop,,5/29/13,6/2/13,,,,,,9/10/13,Dying 7/7,,,
19,7,SAES,lanmar,native,,5/29/13,6/5/13,,,,,,,,,,
19,8,RABG,crop,crop,"472, 490, 491",5/29/13,6/3/13,7/10/13,7/18/13,63,7/25/13,7/22/13,,,,,
19,10,CBES,lanmar,native,,5/29/13,,,,,,,8/23/13,Replaced Fall,,,
19,11,NELO,crop,crop,,5/29/13,6/2/13,,,,,,,Dying 10/9,,,
19,12,RACA,crop,crop,"122, 123, 124",5/29/13,6/2/13,6/28/13,7/2/13,25,7/5/13,7/15/13,8/5/13,"Very wilty during day, Replaced Fall",,,
19,17,MYJO,crop,crop,"679,680",5/29/13,6/3/13,8/5/13,8/7/13,71,8/14/13,8/15/13,10/1/13,,,,
20,1,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,Dying 7/24,,,
20,4,MABG,crop,crop,"434, 435",5/29/13,6/2/13,7/5/13,7/10/13,29.5,7/11/13,7/18/13,,,,,
20,5,DAJO,crop,crop,,5/29/13,6/6/13,,,,,,,,,,
20,6,MABG,crop,crop,301,5/29/13,6/6/13,7/1/13,7/8/13,66,7/11/13,7/15/13,,,,,
20,7,FGBC,crop,crop,"681,682",5/29/13,6/2/13,8/5/13,8/13/13,44,8/14/13,8/20/13,,,,,
20,9,GMIL,rostratus,native,"609,610",5/29/13,6/19/13,8/1/13,8/2/13,12,8/14/13,8/9/13,,,,,
20,10,ESNK,crop,crop,"575,576",5/29/13,6/6/13,7/22/13,8/5/13,73,8/14/13,8/20/13,,,,,
20,12,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
20,14,SPNK,crop,crop,"683,684",5/29/13,6/9/13,8/5/13,8/20/13,95,8/23/13,8/27/13,,,,,
20,15,WMBG,crop,crop,,5/29/13,6/3/13,,,,,,,"Removed from ground 8/13, Replaced Fall",,,
20,16,NELO,crop,crop,,5/29/13,6/2/13,,,,,,,"Removed from ground 8/13, Replaced Fall",,,
21,1,MAES,maes,native,"1005, 1006",5/29/13,6/19/13,8/13/13,8/14/13,31,,8/27/13,,Taken to KBS 10/11,,,
21,5,ESNK,crop,crop,"562, 563",5/29/13,6/3/13,7/18/13,7/22/13,45.5,8/2/13,8/5/13,,,,,
