Pop,UniqueID,OrigID,PlantingDate,PlantToFlower,DaysToGerm,GermToFlwr,NumVernalz,DaysVernalized,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ShrtAnther,LongAnther,Ovules,1stFlwrHgt_cm,LeafNum,FlwrPos,SeedWt_g
COAU,938,37,6/20/03,25,4,21,0,0,7.5806,5.3284,12.2224,7.6936,11.6577,12.6542,2.0877,2.0546,8,17.3,4,3,0.0022
COAU,939,38,.,50,4,46,0,0,9.6812,5.503,10.3827,8.3229,10.5051,.,.,.,7,7.6,8,8,.
COAU,940,39,6/10/03,29,4,25,0,0,8.0524,6.8908,12.7879,9.0369,11.7897,11.5414,3.147,2.7802,9,30,3,3,0.0028
COAU,.,42,6/20/03,32,5,27,0,0,8.5544,7.0444,12.548,7.8038,11.0153,8.4927,2.4927,2.1736,9,24.9,.,.,0.0039
COAU,941,43,6/20/03,25,4,21,0,0,9.3175,6.526,13.1275,8.8087,11.5222,14.5837,2.635,2.2877,8,14.6,4,4,0.0036
COAU,942,44,6/10/03,30,4,26,0,0,7.619,6.898,13.2136,8.9794,12.8908,13.7433,2.4326,2.1266,10,17.8,4,3,0.0029
COAU,943,45,6/10/03,29,4,25,0,0,8.7565,6.6086,13.927,9.7122,13.6535,13.0852,2.6542,2.5644,8,16.5,3,.,0.0035
COAU,944,47,6/10/03,32,10,22,0,0,6.518,4.5598,11.7553,7.2591,10.3807,13.7916,2.7727,2.1931,6,14.3,4,6,0.0046
COAU,945,48,6/20/03,28,4,24,0,0,8.7769,6.1706,12.7464,7.9875,10.8579,12.7178,2.2922,1.9714,8,27.4,4,7,0.0013
COAU,946,49,6/20/03,37,10,27,0,0,7.4504,6.8887,12.3738,6.9672,10.6627,11.9817,3.0619,2.5252,8,15.7,5,4,0.0028
COAU,947,50,.,48,13,35,0,0,9.3277,6.6177,12.1863,9.3256,12.6824,14.6058,.,.,9,16.5,4,3,.
KAMI,1065,3,6/10/03,42,14,28,0,0,8.2007,7.7902,10.7411,8.5519,11.9545,13.4702,1.8607,1.8553,9,25.6,3,4,0.0035
KAMI,1066,4,6/10/03,41,7,34,0,0,7.9599,8.7259,10.795,7.7942,10.507,13.2367,2.7441,2.7151,8,50.5,4,4,0.0027
KAMI,1067,5,6/20/03,27,5,22,0,0,6.8666,6.5207,10.9679,8.4029,10.9783,10.8025,2.5009,2.2628,7,20.9,2,3,0.0048
KAMI,1068,6,6/20/03,29,5,24,0,0,8.7006,8.4391,13.3476,7.1107,10.1966,13.7109,2.7318,2.3938,8,26.3,4,6,0.0044
KAMI,1069,13,6/20/03,28,5,23,0,0,7.9367,7.0158,11.9481,8.7696,11.1947,12.1159,2.2682,1.9827,9,35.5,3,4,0.0049
KAMI,.,14,6/10/03,36,13,23,0,0,10.0194,8.5696,11.6547,8.5115,11.8882,13.3265,2.3004,2.0024,13,22.7,.,.,0.0027
KAMI,.,15,6/20/03,23,4,19,0,0,10.4616,8.7209,13.1933,9.0178,11.6056,12.2647,2.8438,2.4234,9,31.1,.,.,0.0067
